Name,Feature,Type,Color,Match type
SEVA_Ap,,misc_feature,,nucleotide
SEVA_Km,,misc_feature,,nucleotide
SEVA_Cm,,misc_feature,,nucleotide
SEVA_Sm/Sp,,misc_feature,,nucleotide
SEVA_Tet,,misc_feature,,nucleotide
SEVA_Gm,,misc_feature,,nucleotide
SEVA_oriT,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
,,misc_feature,,nucleotide
mScarlett,,misc_feature,,nucleotide
LMP,,misc_feature,,nucleotide
LMS,,misc_feature,,nucleotide
