Clip Index,Prefix ID,Part ID,Part Name,Part suggested stock concentration (ng/µL),Part stock per 30 µL clip (µL),Suffix ID,Total assemblies,Assembly indexes
1,LMS-P,BASIC_SEVA_26,BASIC_SEVA_26,141,1,LMP-S,63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]"
2,LMP-P,B-P1,B-P1_Terminator1_J23119_RiboA,121,1,UTR1-S,1,[1]
3,UTR1-RBS2-P,sfGFP,BASIC_sfGFP_CDS,146,1,LMS-S,63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]"
4,LMP-P,B-P2,B-P2_Terminator1_J23111_RiboA,121,1,UTR1-S,1,[2]
5,LMP-P,B-P3,B-P3_Terminator1_J23104_RiboA,121,1,UTR1-S,1,[3]
6,LMP-P,B-P4,B-P4_Terminator1_J23101_RiboA,121,1,UTR1-S,1,[4]
7,LMP-P,B-P5,B-P5_Terminator1_J23108_RiboA,121,1,UTR1-S,1,[5]
8,LMP-P,B-P6,B-P6_Terminator1_J23106_RiboA,121,1,UTR1-S,1,[6]
9,LMP-P,B-P7,B-P7_Terminator1_J23105_RiboA,121,1,UTR1-S,1,[7]
10,LMP-P,B-P8,B-P8_Terminator1_J23116_RiboA,121,1,UTR1-S,1,[8]
11,LMP-P,B-P9,B-P9_Terminator2_J23119_RiboB,121,1,UTR1-S,1,[9]
12,LMP-P,B-P10,B-P10_Terminator2_J23111_RiboB,121,1,UTR1-S,1,[10]
13,LMP-P,B-P11,B-P11_Terminator2_J23104_RiboB,121,1,UTR1-S,1,[11]
14,LMP-P,B-P12,B-P12_Terminator2_J23101_RiboB,121,1,UTR1-S,1,[12]
15,LMP-P,B-P13,B-P13_Terminator2_J23108_RiboB,121,1,UTR1-S,1,[13]
16,LMP-P,B-P14,B-P14_Terminator2_J23106_RiboB,121,1,UTR1-S,1,[14]
17,LMP-P,B-P15,B-P15_Terminator2_J23105_RiboB,121,1,UTR1-S,1,[15]
18,LMP-P,B-P16,B-P16_Terminator2_J23116_RiboB,121,1,UTR1-S,1,[16]
19,LMP-P,B-P17,B-P17_Terminator3_J23119_RiboC,120,1,UTR1-S,1,[17]
20,LMP-P,B-P18,B-P18_Terminator3_J23111_RiboC,120,1,UTR1-S,1,[18]
21,LMP-P,B-P19,B-P19_Terminator3_J23104_RiboC,120,1,UTR1-S,1,[19]
