Assembly Index,Assembly ID,Clip indexes,Assembly plate mapping
1,promoter_construct_0,"[1, 2, 3]",N/A
2,promoter_construct_1,"[1, 4, 3]",N/A
3,promoter_construct_2,"[1, 5, 3]",N/A
4,promoter_construct_3,"[1, 6, 3]",N/A
5,promoter_construct_4,"[1, 7, 3]",N/A
6,promoter_construct_5,"[1, 8, 3]",N/A
7,promoter_construct_6,"[1, 9, 3]",N/A
8,promoter_construct_7,"[1, 10, 3]",N/A
9,promoter_construct_8,"[1, 11, 3]",N/A
10,promoter_construct_9,"[1, 12, 3]",N/A
11,promoter_construct_10,"[1, 13, 3]",N/A
12,promoter_construct_11,"[1, 14, 3]",N/A
13,promoter_construct_12,"[1, 15, 3]",N/A
14,promoter_construct_13,"[1, 16, 3]",N/A
15,promoter_construct_14,"[1, 17, 3]",N/A
16,promoter_construct_15,"[1, 18, 3]",N/A
17,promoter_construct_16,"[1, 19, 3]",N/A
18,promoter_construct_17,"[1, 20, 3]",N/A
19,promoter_construct_18,"[1, 21, 3]",N/A
20,promoter_construct_19,"[1, 22, 3]",N/A
21,promoter_construct_20,"[1, 23, 3]",N/A
22,promoter_construct_21,"[1, 24, 3]",N/A
23,promoter_construct_22,"[1, 25, 3]",N/A
24,promoter_construct_23,"[1, 26, 3]",N/A
25,promoter_construct_24,"[1, 27, 3]",N/A
26,promoter_construct_25,"[1, 28, 3]",N/A
27,promoter_construct_26,"[1, 29, 3]",N/A
28,promoter_construct_27,"[1, 30, 3]",N/A
29,promoter_construct_28,"[1, 31, 3]",N/A
30,promoter_construct_29,"[1, 32, 3]",N/A
31,promoter_construct_30,"[1, 33, 3]",N/A
32,promoter_construct_31,"[1, 34, 3]",N/A
33,promoter_construct_32,"[1, 35, 3]",N/A
34,promoter_construct_33,"[1, 36, 3]",N/A
35,promoter_construct_34,"[1, 37, 3]",N/A
36,promoter_construct_35,"[1, 38, 3]",N/A
37,promoter_construct_36,"[1, 39, 3]",N/A
38,promoter_construct_37,"[1, 40, 3]",N/A
39,promoter_construct_38,"[1, 41, 3]",N/A
40,promoter_construct_39,"[1, 42, 3]",N/A
41,promoter_construct_40,"[1, 43, 3]",N/A
42,promoter_construct_41,"[1, 44, 3]",N/A
43,promoter_construct_42,"[1, 45, 3]",N/A
44,promoter_construct_43,"[1, 46, 3]",N/A
45,promoter_construct_44,"[1, 47, 3]",N/A
46,promoter_construct_45,"[1, 48, 3]",N/A
47,promoter_construct_46,"[1, 49, 3]",N/A
48,promoter_construct_47,"[1, 50, 3]",N/A
49,promoter_construct_48,"[1, 51, 3]",N/A
50,promoter_construct_49,"[1, 52, 3]",N/A
51,promoter_construct_50,"[1, 53, 3]",N/A
52,promoter_construct_51,"[1, 54, 3]",N/A
53,promoter_construct_52,"[1, 55, 3]",N/A
54,promoter_construct_53,"[1, 56, 3]",N/A
55,promoter_construct_54,"[1, 57, 3]",N/A
56,promoter_construct_55,"[1, 58, 3]",N/A
57,promoter_construct_56,"[1, 59, 3]",N/A
58,promoter_construct_57,"[1, 60, 3]",N/A
59,promoter_construct_58,"[1, 61, 3]",N/A
60,promoter_construct_59,"[1, 62, 3]",N/A
61,promoter_construct_60,"[1, 63, 3]",N/A
62,promoter_construct_61,"[1, 64, 3]",N/A
63,promoter_construct_62,"[1, 65, 3]",N/A
