Clip Index,Prefix ID,Part ID,Part Name,Part suggested stock concentration (ng/µL),Part stock per 30 µL clip (µL),Suffix ID,Total assemblies,Assembly indexes
1,LMS-P,c92d2eb763c0cd5a28e50d32a195c621,BASIC_SEVA_26,141,1,LMP-S,63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]"
2,LMP-P,140aff43fdac9c3adddb754116e1630b,B-P1_Terminator1_J23119_RiboA,121,1,UTR1-S,1,[1]
3,UTR1-RBS2-P,f3eb90a77c18c828cc1c0e2ce99d9f83,BASIC_sfGFP_CDS,146,1,LMS-S,63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]"
4,LMP-P,373e6bfcc3cfd521c725e6667029aa9f,B-P2_Terminator1_J23111_RiboA,121,1,UTR1-S,1,[2]
5,LMP-P,04dd87f307037cb34338c8d46fdec78a,B-P3_Terminator1_J23104_RiboA,121,1,UTR1-S,1,[3]
6,LMP-P,93fdffea8985598476d07a621ab13441,B-P4_Terminator1_J23101_RiboA,121,1,UTR1-S,1,[4]
7,LMP-P,741f2bdde85d6df3b029ceddf0560ba1,B-P5_Terminator1_J23108_RiboA,121,1,UTR1-S,1,[5]
8,LMP-P,fd822f2a69a7d1fba7843f933c1d7a30,B-P6_Terminator1_J23106_RiboA,121,1,UTR1-S,1,[6]
9,LMP-P,63f7d6ad25024b0a6501661f11b70416,B-P7_Terminator1_J23105_RiboA,121,1,UTR1-S,1,[7]
10,LMP-P,b376f975081d9e9d603a43174ff51509,B-P8_Terminator1_J23116_RiboA,121,1,UTR1-S,1,[8]
